Date,Corridor,Delay_Type,Minutes_Delayed
2023-01-04,Mountain,accident,18.0
2023-01-04,Valley,mechanical,41.0
2023-01-04,Valley, weather ,28.0
2023-01-04,Valley,traffic,40.0
2023-01-04,Valley,staff,37.0
2023-01-04,Valley,signal,23.0
2023-01-05,North-South,mechanical,36.0
2023-01-05,North-South, weather ,35.0
2023-01-05,North-South,traffic,40.0
2023-01-05,North-South,staff,34.0
2023-01-05,North-South,signal,41.0
2023-01-05,North-South,accident,33.0
2023-01-05,East-West, weather ,28.0
2023-01-05,East-West,traffic,36.0
2023-01-05,East-West,staff,38.0
2023-01-05,East-West,signal,36.0
2023-01-05,East-West,accident,
2023-01-05,Central,mechanical,33.0
2023-01-05,Central, weather ,22.0
2023-01-05,Central,traffic,42.0
2023-01-05,Central,staff,35.0
2023-01-05,Central,signal,35.0
2023-01-05,Central,accident,29.0
2023-01-05,Coastal,mechanical,33.0
2023-01-05,Coastal,staff,37.0
2023-01-05,Coastal,signal,33.0
2023-01-05,Coastal,accident,35.0
2023-01-05,Mountain,mechanical,38.0
2023-01-05,Mountain, weather ,25.0
2023-01-05,Mountain,staff,46.0
2023-01-05,Mountain,signal,33.0
2023-01-05,Mountain,accident,34.0
2023-01-05,Valley,mechanical,46.0
2023-01-05,Valley, weather ,29.0
2023-01-05,Valley,traffic,27.0
2023-01-05,Valley,staff,26.0
2023-01-05,Valley,signal,25.0
2023-01-05,Valley,accident,41.0
2023-01-06,North-South,mechanical,41.0
2023-01-06,North-South, weather ,27.0
2023-01-06,North-South,staff,37.0
2023-01-06,North-South,signal,39.0
2023-01-06,North-South,accident,31.0
2023-01-06,East-West, weather ,39.0
2023-01-06,East-West,traffic,33.0
2023-01-06,East-West,staff,32.0
2023-01-06,East-West,signal,42.0
2023-01-06,East-West,accident,39.0
2023-01-06,Central,mechanical,27.0
2023-01-06,Central,traffic,35.0
2023-01-06,Central,signal,32.0
2023-01-06,Central,accident,33.0
2023-01-06,Coastal, weather ,44.0
2023-01-06,Coastal,signal,32.0
2023-01-06,Coastal,accident,47.0
2023-01-06,Mountain,mechanical,37.0
2023-01-06,Mountain, weather ,31.0
2023-01-06,Mountain,traffic,38.0
2023-01-06,Mountain,staff,40.0
2023-01-06,Mountain,,26.0
2023-01-06,Valley,mechanical,24.0
2023-01-06,Valley, weather ,34.0
2023-01-06,Valley,traffic,32.0
2023-01-06,Valley,staff,28.0
2023-01-07,North-South,mechanical,37.0
2023-01-07,North-South, weather ,26.0
2023-01-07,North-South,traffic,38.0
2023-01-07,North-South,staff,33.0
2023-01-07,North-South,accident,33.0
2023-01-07,East-West,mechanical,40.0
2023-01-07,East-West, weather ,34.0
2023-01-07,East-West,traffic,27.0
2023-01-07,East-West,staff,24.0
2023-01-07,East-West,signal,27.0
2023-01-07,Central,mechanical,
2023-01-07,Central,traffic,49.0
2023-01-07,Central,,31.0
2023-01-07,Central,signal,25.0
2023-01-07,Central,accident,37.0
2023-01-07,Coastal,mechanical,34.0
2023-01-07,Coastal, weather ,36.0
2023-01-07,Coastal,staff,22.0
2023-01-07,Coastal,signal,34.0
2023-01-07,Coastal,accident,31.0
2023-01-07,Mountain,mechanical,34.0
2023-01-07,Mountain, weather ,36.0
2023-01-07,Mountain,traffic,38.0
2023-01-07,Mountain,signal,32.0
2023-01-07,Mountain,accident,38.0
2023-01-07,Valley,mechanical,47.0
2023-01-07,Valley, weather ,37.0
2023-01-07,Valley,traffic,45.0
2023-01-07,Valley,staff,22.0
2023-01-07,Valley,signal,33.0
2023-01-07,Valley,accident,36.0
2023-01-08,North-South,mechanical,41.0
2023-01-08,North-South, weather ,34.0
2023-01-08,North-South,signal,42.0
2023-01-08,North-South,accident,34.0
2023-01-08,East-West,mechanical,48.0
2023-01-08,East-West,signal,30.0
2023-01-08,East-West,accident,37.0
2023-01-08,Central,mechanical,27.0
2023-01-08,Central, weather ,35.0
2023-01-08,Central,traffic,35.0
2023-01-08,Central,signal,36.0
2023-01-08,Central,accident,42.0
2023-01-08,Coastal,mechanical,28.0
2023-01-08,Coastal, weather ,39.0
2023-01-08,Coastal,traffic,38.0
2023-01-08,Coastal,signal,28.0
2023-01-08,Coastal,accident,32.0
2023-01-08,Mountain,mechanical,33.0
2023-01-08,Mountain, weather ,44.0
2023-01-08,Mountain,traffic,35.0
2023-01-08,Mountain,staff,33.0
2023-01-08,Mountain,signal,35.0
2023-01-08,Mountain,accident,35.0
2023-01-08,Valley,mechanical,37.0
2023-01-08,Valley,,25.0
2023-01-08,Valley,traffic,28.0
2023-01-08,Valley,signal,28.0
2023-01-08,Valley,accident,29.0
2023-01-09,North-South,mechanical,43.0
2023-01-09,North-South, weather ,38.0
2023-01-09,North-South,traffic,29.0
2023-01-09,North-South,staff,29.0
2023-01-09,North-South,signal,29.0
2023-01-09,North-South,accident,27.0
2023-01-09,East-West,mechanical,30.0
2023-01-09,East-West, weather ,35.0
2023-01-09,East-West,traffic,37.0
2023-01-09,East-West,staff,24.0
2023-01-09,East-West,signal,40.0
2023-01-09,Central, weather ,29.0
2023-01-09,Central,traffic,
2023-01-09,Central,staff,37.0
2023-01-09,Central,signal,34.0
2023-01-09,Central,accident,35.0
2023-01-09,Coastal,mechanical,27.0
2023-01-09,Coastal,traffic,35.0
2023-01-09,Coastal,accident,31.0
2023-01-09,Mountain,mechanical,30.0
2023-01-09,Mountain, weather ,36.0
2023-01-09,Mountain,traffic,40.0
2023-01-09,Mountain,signal,26.0
2023-01-09,Mountain,,36.0
2023-01-09,Valley,mechanical,34.0
2023-01-09,Valley,signal,31.0
2023-01-10,North-South,mechanical,37.0
2023-01-10,North-South, weather ,33.0
2023-01-10,North-South,traffic,37.0
2023-01-10,North-South,signal,
2023-01-10,East-West,mechanical,31.0
2023-01-10,East-West, weather ,29.0
2023-01-10,East-West,traffic,25.0
2023-01-10,East-West,staff,27.0
2023-01-10,Central,mechanical,41.0
2023-01-10,Central, weather ,29.0
2023-01-10,Central,traffic,
2023-01-10,Central,staff,36.0
2023-01-10,Central,signal,40.0
2023-01-10,Central,accident,32.0
2023-01-10,Coastal,mechanical,35.0
2023-01-10,Coastal, weather ,27.0
2023-01-10,Coastal,traffic,31.0
2023-01-10,Coastal,accident,28.0
2023-01-10,Mountain,mechanical,35.0
2023-01-10,Mountain, weather ,32.0
2023-01-10,Mountain,staff,32.0
2023-01-10,Mountain,accident,31.0
2023-01-10,Valley, weather ,39.0
2023-01-10,Valley,staff,34.0
2023-01-10,Valley,signal,28.0
2023-01-10,Valley,accident,46.0
2023-01-11,North-South,mechanical,25.0
2023-01-11,North-South, weather ,36.0
2023-01-11,North-South,traffic,28.0
2023-01-11,North-South,staff,30.0
2023-01-11,North-South,signal,29.0
2023-01-11,North-South,accident,38.0
2023-01-11,East-West,mechanical,33.0
2023-01-11,East-West, weather ,33.0
2023-01-11,East-West,traffic,34.0
2023-01-11,East-West,signal,34.0
2023-01-11,East-West,accident,39.0
2023-01-11,Central,mechanical,33.0
2023-01-11,Central, weather ,44.0
2023-01-11,Central,traffic,37.0
2023-01-11,Central,staff,28.0
2023-01-11,Central,signal,
2023-01-11,Central,accident,43.0
2023-01-11,Coastal,mechanical,28.0
2023-01-11,Coastal, weather ,31.0
2023-01-11,Coastal,traffic,32.0
2023-01-11,Coastal,staff,27.0
2023-01-11,Coastal,signal,28.0
2023-01-11,Coastal,accident,40.0
2023-01-11,Mountain,mechanical,
2023-01-11,Mountain, weather ,39.0
2023-01-11,Mountain,traffic,38.0
2023-01-11,Mountain,staff,31.0
2023-01-11,Mountain,accident,36.0
2023-01-11,Valley, weather ,34.0
2023-01-11,Valley,traffic,28.0
2023-01-11,Valley,staff,35.0
2023-01-11,Valley,signal,45.0
2023-01-11,Valley,accident,38.0
2023-01-12,North-South,mechanical,36.0
2023-01-12,North-South, weather ,
2023-01-12,North-South,,45.0
2023-01-12,North-South,staff,34.0
2023-01-12,North-South,signal,28.0
2023-01-12,North-South,accident,42.0
2023-01-12,East-West,mechanical,36.0
2023-01-12,East-West,traffic,23.0
2023-01-12,East-West,staff,40.0
2023-01-12,East-West,signal,32.0
2023-01-12,East-West,accident,36.0
2023-01-12,Central,mechanical,32.0
2023-01-12,Central, weather ,39.0
2023-01-12,Central,traffic,30.0
2023-01-12,Central,staff,28.0
2023-01-12,Central,signal,35.0
2023-01-12,Central,accident,44.0
2023-01-12,Coastal,mechanical,36.0
2023-01-12,Coastal, weather ,28.0
2023-01-12,Coastal,traffic,35.0
2023-01-12,Coastal,staff,25.0
2023-01-12,Coastal,signal,30.0
2023-01-12,Coastal,accident,30.0
2023-01-12,Mountain,mechanical,36.0
2023-01-12,Mountain, weather ,40.0
2023-01-12,Mountain,traffic,35.0
2023-01-12,Mountain,staff,33.0
2023-01-12,Mountain,signal,28.0
2023-01-12,Mountain,accident,33.0
2023-01-12,Valley,,37.0
2023-01-12,Valley, weather ,39.0
2023-01-12,Valley,traffic,30.0
2023-01-12,Valley,staff,40.0
2023-01-12,Valley,signal,37.0
2023-01-12,Valley,accident,27.0
2023-01-13,North-South,mechanical,41.0
2023-01-13,North-South,traffic,38.0
2023-01-13,North-South,staff,30.0
2023-01-13,North-South,signal,29.0
2023-01-13,North-South,accident,34.0
2023-01-13,East-West,mechanical,41.0
2023-01-13,East-West, weather ,31.0
2023-01-13,East-West,traffic,36.0
2023-01-13,East-West,signal,37.0
2023-01-13,Central, weather ,36.0
2023-01-13,Central,traffic,40.0
2023-01-13,Central,staff,42.0
2023-01-13,Central,signal,43.0
2023-01-13,Central,accident,34.0
2023-01-13,Coastal, weather ,31.0
2023-01-13,Coastal,traffic,37.0
2023-01-13,Coastal,staff,
2023-01-13,Coastal,signal,29.0
2023-01-13,Coastal,accident,27.0
2023-01-13,Mountain,mechanical,31.0
2023-01-13,Mountain, weather ,37.0
2023-01-13,Mountain,,30.0
2023-01-13,Mountain,staff,42.0
2023-01-13,Mountain,signal,37.0
2023-01-13,Mountain,accident,34.0
2023-01-13,Valley,mechanical,35.0
2023-01-13,Valley, weather ,29.0
2023-01-13,Valley,traffic,26.0
2023-01-13,Valley,staff,31.0
2023-01-13,Valley,signal,31.0
2023-01-13,Valley,accident,39.0
2023-01-14,North-South,mechanical,36.0
2023-01-14,North-South, weather ,39.0
2023-01-14,North-South,traffic,36.0
2023-01-14,North-South,staff,35.0
2023-01-14,North-South,signal,32.0
2023-01-14,North-South,accident,27.0
2023-01-14,East-West,mechanical,39.0
2023-01-14,East-West,traffic,38.0
2023-01-14,East-West,staff,31.0
2023-01-14,East-West,accident,40.0
2023-01-14,Central,mechanical,31.0
2023-01-14,Central, weather ,33.0
2023-01-14,Central,traffic,44.0
2023-01-14,Central,staff,47.0
2023-01-14,Coastal,mechanical,29.0
2023-01-14,Coastal, weather ,42.0
2023-01-14,Coastal,traffic,40.0
2023-01-14,Coastal,staff,38.0
2023-01-14,Coastal,signal,31.0
2023-01-14,Coastal,accident,46.0
2023-01-14,Mountain,mechanical,29.0
2023-01-14,Mountain, weather ,44.0
2023-01-14,Mountain,traffic,38.0
2023-01-14,Mountain,staff,46.0
2023-01-14,Mountain,signal,32.0
2023-01-14,Mountain,accident,30.0
2023-01-14,Valley,mechanical,25.0
2023-01-14,Valley, weather ,32.0
2023-01-14,Valley,traffic,24.0
2023-01-14,Valley,staff,
2023-01-14,Valley,signal,32.0
2023-01-14,Valley,accident,43.0
2023-01-15,North-South,mechanical,30.0
2023-01-15,North-South, weather ,42.0
2023-01-15,North-South,traffic,42.0
2023-01-15,North-South,staff,46.0
2023-01-15,North-South,signal,40.0
2023-01-15,North-South,accident,35.0
2023-01-15,East-West,mechanical,40.0
2023-01-15,East-West, weather ,34.0
2023-01-15,East-West,traffic,30.0
2023-01-15,East-West,staff,33.0
2023-01-15,East-West,signal,31.0
2023-01-15,East-West,accident,21.0
2023-01-15,Central,mechanical,33.0
2023-01-15,Central, weather ,40.0
2023-01-15,Central,traffic,34.0
2023-01-15,Central,staff,
2023-01-15,Central,accident,37.0
2023-01-15,Coastal,mechanical,46.0
2023-01-15,Coastal, weather ,37.0
2023-01-15,Coastal,traffic,30.0
2023-01-15,Coastal,staff,30.0
2023-01-15,Coastal,accident,40.0
2023-01-15,Mountain,mechanical,33.0
2023-01-15,Mountain, weather ,38.0
2023-01-15,Mountain,traffic,41.0
2023-01-15,Mountain,staff,30.0
2023-01-15,Mountain,signal,36.0
2023-01-15,Mountain,accident,31.0
2023-01-15,Valley,mechanical,38.0
2023-01-15,Valley, weather ,26.0
2023-01-15,Valley,traffic,33.0
2023-01-15,Valley,staff,39.0
2023-01-15,Valley,signal,26.0
2023-01-15,Valley,accident,38.0
2023-01-16,North-South,mechanical,42.0
2023-01-16,North-South,traffic,35.0
2023-01-16,North-South,staff,41.0
2023-01-16,North-South,signal,38.0
2023-01-16,North-South,accident,31.0
2023-01-16,East-West, weather ,40.0
2023-01-16,East-West,traffic,38.0
2023-01-16,East-West,staff,38.0
2023-01-16,East-West,signal,37.0
2023-01-16,East-West,accident,29.0
2023-01-16,Central,mechanical,42.0
2023-01-16,Central,,41.0
2023-01-16,Central,staff,32.0
2023-01-16,Central,signal,29.0
2023-01-16,Coastal,mechanical,41.0
2023-01-16,Coastal, weather ,37.0
2023-01-16,Coastal,traffic,37.0
2023-01-16,Coastal,staff,40.0
2023-01-16,Coastal,signal,39.0
2023-01-16,Coastal,accident,49.0
2023-01-16,Mountain,mechanical,27.0
2023-01-16,Mountain, weather ,38.0
2023-01-16,Mountain,traffic,32.0
2023-01-16,Mountain,signal,25.0
2023-01-16,Mountain,accident,32.0
2023-01-16,Valley,mechanical,39.0
2023-01-16,Valley, weather ,39.0
2023-01-16,Valley,traffic,35.0
2023-01-16,Valley,signal,38.0
2023-01-16,Valley,accident,34.0
2023-01-17,North-South,mechanical,29.0
2023-01-17,North-South, weather ,38.0
2023-01-17,North-South,traffic,26.0
2023-01-17,North-South,staff,37.0
2023-01-17,North-South,signal,47.0
2023-01-17,East-West,mechanical,34.0
2023-01-17,East-West, weather ,34.0
2023-01-17,East-West,staff,33.0
2023-01-17,East-West,signal,43.0
2023-01-17,East-West,accident,30.0
2023-01-17,Central,mechanical,37.0
2023-01-17,Central, weather ,
2023-01-17,Central,staff,51.0
2023-01-17,Central,signal,42.0
2023-01-17,Central,accident,39.0
2023-01-17,Coastal,mechanical,
2023-01-17,Coastal,traffic,44.0
2023-01-17,Coastal,staff,40.0
2023-01-17,Coastal,signal,27.0
2023-01-17,Mountain,mechanical,38.0
2023-01-17,Mountain, weather ,30.0
2023-01-17,Mountain,traffic,24.0
2023-01-17,Mountain,staff,
2023-01-17,Mountain,signal,32.0
2023-01-17,Mountain,accident,33.0
2023-01-17,Valley,mechanical,37.0
2023-01-17,Valley, weather ,38.0
2023-01-17,Valley,traffic,40.0
2023-01-17,Valley,staff,35.0
2023-01-17,Valley,signal,28.0
2023-01-17,Valley,accident,37.0
2023-01-18,North-South,mechanical,36.0
2023-01-18,North-South, weather ,32.0
2023-01-18,North-South,traffic,26.0
2023-01-18,North-South,staff,19.0
2023-01-18,North-South,signal,33.0
2023-01-18,North-South,accident,36.0
2023-01-18,East-West,mechanical,40.0
2023-01-18,East-West, weather ,29.0
2023-01-18,East-West,traffic,37.0
2023-01-18,East-West,staff,23.0
2023-01-18,East-West,signal,38.0
2023-01-18,East-West,accident,39.0
2023-01-18,Central,mechanical,32.0
2023-01-18,Central, weather ,
2023-01-18,Central,traffic,34.0
2023-01-18,Central,staff,35.0
2023-01-18,Central,signal,26.0
2023-01-18,Central,accident,31.0
2023-01-18,Coastal, weather ,42.0
2023-01-18,Coastal,traffic,29.0
2023-01-18,Coastal,staff,38.0
2023-01-18,Coastal,signal,36.0
2023-01-18,Coastal,accident,30.0
2023-01-18,Mountain,mechanical,25.0
2023-01-18,Mountain, weather ,31.0
2023-01-18,Mountain,traffic,42.0
2023-01-18,Mountain,staff,
2023-01-18,Mountain,accident,32.0
2023-01-18,Valley,mechanical,42.0
2023-01-18,Valley, weather ,34.0
2023-01-18,Valley,staff,35.0
2023-01-18,Valley,accident,43.0
2023-01-19,North-South,mechanical,
2023-01-19,North-South,,44.0
2023-01-19,North-South,traffic,37.0
2023-01-19,North-South,staff,39.0
2023-01-19,North-South,accident,29.0
2023-01-19,East-West,mechanical,52.0
2023-01-19,East-West, weather ,42.0
2023-01-19,East-West,traffic,31.0
2023-01-19,East-West,staff,34.0
2023-01-19,East-West,signal,33.0
2023-01-19,East-West,accident,29.0
2023-01-19,Central,mechanical,51.0
2023-01-19,Central, weather ,38.0
2023-01-19,Central,staff,40.0
2023-01-19,Central,signal,30.0
2023-01-19,Central,accident,29.0
2023-01-19,Coastal,mechanical,32.0
2023-01-19,Coastal, weather ,34.0
2023-01-19,Coastal,traffic,37.0
2023-01-19,Coastal,staff,29.0
2023-01-19,Coastal,signal,38.0
2023-01-19,Mountain, weather ,41.0
2023-01-19,Mountain,traffic,36.0
2023-01-19,Mountain,staff,
2023-01-19,Mountain,signal,31.0
2023-01-19,Valley,mechanical,35.0
2023-01-19,Valley, weather ,
2023-01-19,Valley,traffic,34.0
2023-01-19,Valley,staff,32.0
2023-01-19,Valley,signal,21.0
2023-01-19,Valley,accident,37.0
2023-01-20,North-South,mechanical,34.0
2023-01-20,North-South, weather ,35.0
2023-01-20,North-South,traffic,28.0
2023-01-20,North-South,staff,32.0
2023-01-20,North-South,signal,30.0
2023-01-20,North-South,accident,52.0
2023-01-20,East-West,mechanical,38.0
2023-01-20,East-West, weather ,42.0
2023-01-20,East-West,traffic,38.0
2023-01-20,East-West,,46.0
2023-01-20,East-West,accident,35.0
2023-01-20,Central,mechanical,
2023-01-20,Central,traffic,38.0
2023-01-20,Central,staff,
2023-01-20,Central,signal,33.0
2023-01-20,Coastal,mechanical,27.0
2023-01-20,Coastal, weather ,42.0
2023-01-20,Coastal,traffic,
2023-01-20,Coastal,staff,42.0
2023-01-20,Coastal,signal,
2023-01-20,Coastal,accident,40.0
2023-01-20,Mountain,mechanical,40.0
2023-01-20,Mountain, weather ,41.0
2023-01-20,Mountain,traffic,36.0
2023-01-20,Mountain,staff,32.0
2023-01-20,Mountain,accident,33.0
2023-01-20,Valley,mechanical,33.0
2023-01-20,Valley, weather ,30.0
2023-01-20,Valley,traffic,30.0
2023-01-20,Valley,staff,37.0
2023-01-20,Valley,signal,37.0
2023-01-20,Valley,accident,33.0
2023-01-21,North-South,mechanical,35.0
2023-01-21,North-South,traffic,33.0
2023-01-21,North-South,staff,36.0
2023-01-21,East-West,mechanical,37.0
2023-01-21,East-West, weather ,41.0
2023-01-21,East-West,traffic,48.0
2023-01-21,East-West,staff,29.0
2023-01-21,East-West,signal,37.0
2023-01-21,East-West,accident,32.0
2023-01-21,Central, weather ,35.0
2023-01-21,Central,traffic,31.0
2023-01-21,Central,staff,40.0
2023-01-21,Central,signal,32.0
2023-01-21,Central,accident,39.0
2023-01-21,Coastal,mechanical,34.0
2023-01-21,Coastal, weather ,29.0
2023-01-21,Coastal,traffic,29.0
2023-01-21,Coastal,signal,38.0
2023-01-21,Coastal,accident,36.0
2023-01-21,Mountain,mechanical,
2023-01-21,Mountain,traffic,
2023-01-21,Mountain,staff,47.0
2023-01-21,Mountain,signal,30.0
2023-01-21,Mountain,accident,37.0
2023-01-21,Valley,mechanical,33.0
2023-01-21,Valley,traffic,40.0
2023-01-21,Valley,staff,41.0
2023-01-21,Valley,accident,38.0
2023-01-22,North-South,mechanical,37.0
2023-01-22,North-South, weather ,36.0
2023-01-22,North-South,traffic,30.0
2023-01-22,North-South,staff,37.0
2023-01-22,North-South,signal,30.0
2023-01-22,North-South,accident,36.0
2023-01-22,East-West,mechanical,38.0
2023-01-22,East-West, weather ,34.0
2023-01-22,East-West,traffic,28.0
2023-01-22,East-West,signal,39.0
2023-01-22,East-West,accident,31.0
2023-01-22,Central,mechanical,29.0
2023-01-22,Central,traffic,30.0
2023-01-22,Central,staff,25.0
2023-01-22,Central,signal,25.0
2023-01-22,Central,accident,30.0
2023-01-22,Coastal,mechanical,43.0
2023-01-22,Coastal, weather ,35.0
2023-01-22,Coastal,signal,32.0
2023-01-22,Coastal,accident,36.0
2023-01-22,Mountain,mechanical,34.0
2023-01-22,Mountain, weather ,29.0
2023-01-22,Mountain,traffic,30.0
2023-01-22,Mountain,staff,26.0
2023-01-22,Mountain,signal,39.0
2023-01-22,Mountain,accident,38.0
2023-01-22,Valley, weather ,45.0
2023-01-22,Valley,traffic,33.0
2023-01-22,Valley,staff,36.0
2023-01-22,Valley,accident,35.0
2023-01-23,North-South,traffic,26.0
2023-01-23,North-South,staff,28.0
2023-01-23,North-South,signal,40.0
2023-01-23,East-West,mechanical,31.0
2023-01-23,East-West, weather ,36.0
2023-01-23,East-West,traffic,33.0
2023-01-23,East-West,staff,37.0
2023-01-23,East-West,signal,44.0
2023-01-23,Central,mechanical,33.0
2023-01-23,Central, weather ,42.0
2023-01-23,Central,traffic,40.0
2023-01-23,Central,staff,26.0
2023-01-23,Central,signal,29.0
2023-01-23,Central,accident,37.0
2023-01-23,Coastal,mechanical,28.0
2023-01-23,Coastal, weather ,45.0
2023-01-23,Coastal,traffic,37.0
2023-01-23,Coastal,staff,
2023-01-23,Coastal,signal,33.0
2023-01-23,Coastal,accident,33.0
2023-01-23,Mountain,mechanical,50.0
2023-01-23,Mountain, weather ,32.0
2023-01-23,Mountain,traffic,34.0
2023-01-23,Mountain,staff,37.0
2023-01-23,Mountain,signal,37.0
2023-01-23,Mountain,accident,28.0
2023-01-23,Valley,mechanical,40.0
2023-01-23,Valley, weather ,24.0
2023-01-23,Valley,staff,28.0
2023-01-23,Valley,signal,32.0
2023-01-23,Valley,accident,38.0
2023-01-24,North-South,mechanical,41.0
2023-01-24,North-South,staff,32.0
2023-01-24,North-South,signal,35.0
2023-01-24,North-South,accident,28.0
2023-01-24,East-West,mechanical,34.0
2023-01-24,East-West, weather ,33.0
2023-01-24,East-West,traffic,41.0
2023-01-24,East-West,staff,40.0
2023-01-24,East-West,signal,34.0
2023-01-24,Central,mechanical,39.0
2023-01-24,Central, weather ,35.0
2023-01-24,Central,traffic,49.0
2023-01-24,Coastal,mechanical,27.0
2023-01-24,Coastal, weather ,34.0
2023-01-24,Coastal,traffic,26.0
2023-01-24,Coastal,staff,28.0
2023-01-24,Coastal,accident,39.0
2023-01-24,Mountain,mechanical,33.0
2023-01-24,Mountain, weather ,34.0
2023-01-24,Mountain,signal,40.0
2023-01-24,Mountain,accident,38.0
2023-01-24,Valley,mechanical,31.0
2023-01-24,Valley, weather ,34.0
2023-01-24,Valley,staff,37.0
2023-01-24,Valley,,25.0
2023-01-25,North-South,mechanical,28.0
2023-01-25,North-South, weather ,35.0
2023-01-25,North-South,,
2023-01-25,North-South,staff,39.0
2023-01-25,North-South,signal,25.0
2023-01-25,North-South,accident,
2023-01-25,East-West,mechanical,33.0
2023-01-25,East-West, weather ,32.0
2023-01-25,East-West,traffic,38.0
2023-01-25,East-West,staff,29.0
2023-01-25,East-West,accident,38.0
2023-01-25,Central,mechanical,31.0
2023-01-25,Central,traffic,
2023-01-25,Central,staff,
2023-01-25,Central,signal,30.0
2023-01-25,Central,accident,37.0
2023-01-25,Coastal,mechanical,
2023-01-25,Coastal, weather ,40.0
2023-01-25,Coastal,staff,36.0
2023-01-25,Coastal,signal,41.0
2023-01-25,Coastal,accident,28.0
2023-01-25,Mountain,mechanical,45.0
2023-01-25,Mountain, weather ,33.0
